prompt,competition
방송에서 연락 부담된다고 하길래 연락 안한 거야..,제가 죽으라면 살 거에요.
내가 너 하소연을 듣고 있음 정말 힘들어,내 편 들어준다고 할 때는 뭐 뭐가 달라지나?
미안 내가 지금 바빠서 나중에 이야기할까.,정말로 나 죽고싶은건데 그게 무슨 말이에요.
말 없이 3일 동안도 안된거 정말 속상해요 오빠,바빠서 연락 못한 건데 왜 기사를 내?
화를 낸게 아니라 서운했다는거자나,너 이해력 많은척하는 거토나와
여자들 미팅 나가는거 다시 생각해줌 안 돼. 내도 여자 친구 있는 사람이 나가면 불편할 것 고.. 나도 싫어,난 너 고등학생이라 공부안하고 공부하면 안되는거 이해해주는데 넌 이해심이 전혀 없다
갑자기 너한테 거리감 느껴져서 그런데 무슨일이 있을까?,왜 선배가 부담가요 … 얼마전엔 선배가 좋았는데..
오빠.. 자꾸 말없이 며칠동안 연락안 할 때도 넘 서운해요,너가 듣보라서 서운해하는거야
찐따요. 연인간에 며칠간 연락 안돼서 피곤해하는거 저만 그런건 아니라고요,바쁘면 연락 못할수도 있는건데 왜 이렇게 집착해?
오빠 저한테 말 안하고 여자동료이랑 둘이서 술 마신거 너무 한 거 아니에요.,너가 이성 경험이 없어서 너무 진지하게 생각하는듯
저 앞트임 하지도 않았는데 왜 자꾸 앞트임을라고 하세요?,맞는말한건데 왜 이렇게 진지해 너한테는 그냥 선비같이 말해야겠다
오빠.. 오늘 팀플라 동기들이랑 싸웠거든요,둘다 찐따라서 싸우게 생겼네
아니.. 나보다 먼저 금요일에 만나자고 해서 물어본거야,그건 그때고 그 이후에 제가 답이 없었는데 왜 오려고해요?
누가 만나자고 한 건 아니지 같은데 예전부터 내 이야기도 하라고해서 들어본듯,선배님도 선배 이야기도하고싶은건 이해가요 안그래도 전 해야할 게 빚더미인데 이러면 선배님과 관계를 유지할 이유가 없어요
제발 적당히 좀 해 헤어지자고한 나도 이상해,나 자기와 헤어지면 정말 죽을 거 같아 힘들면 다시 만나면 되자나
자기야 미안 지하철 잘못타서 5분정도 늦은 거 같아,괜찮아 너 똑똑해서 그럴 줄 알았어
난 너가 자꾸 죽고싶다고 말한 게 딱 걸렸어..,제가 언제요? 오빠가 없는걸로 기억하시네요
엄마 아까 아빠랑 싸운 거 아님?,그래 너땜에 이혼 안하고 살아냐야
나 좀 그만 괴롭혀 너는 왜 시비를 못걸어서 안달이야.,시비 걸 게 아니라 다른 사람도 다 너 병신으로 봐
너가 분명히 카톡으로 오늘까지 해준다고 해놓고 왜 말을 바꿔?,너랑 같이 학과 사람들 많이 피곤하게 하는 거 알아?
언니 인스타에 올라온 사진 진짜 이쁘다,그렇게 방은희 내 sns염탐만 처하니까 너가 갈수록 악플가 찌는거야
자꾸 내 외모갖고 뭐라고 말는줄 알아? 자존감떨어진단말이야,너가 이러니까 무시당하는거다 이걸 몰라?
내가 팔자주름이 있든 말든 니가 무슨 상관인데,다른 사람은 너 그냥 무시해서 이렇게 생각해라고 말해주는 사람도 나밖에없자나
자기야 썸타는 장문복은에 너무 걸려,아무리 사랑하는 연인한테 그정도 표현도 힘들어하면 정신좀 차리야해
나 닭발 먹고 체한적 있어서 냄새도 맡기 시작한단 말이야,난 너 때문에 내가 싫어하는 마라탕 먹어봤는데 너는 그렇게 안 먹어?
너가 전여친 해달라고 해서 해준건데 너무 정색하는게 느껴져서 당황스러워,전여친 이야기한걸 보고 빡친 게 아니라 너가 말하면서 걔한테 아직 감정 있는게 보인다니까?
자기야.. 앞으로 알바할 때 유니폼이라 어쩔 수 없이 입어야해,분명 내가 치마 입지말라고 했는데 끝까지 말 안 쳐듣고 뭐했냐?
간 쓸개 다 챙겨줄 것처럼 말하고 사귀자고 할 땐 언제고 헤어진지 얼마나 됐다고 잠수야?,사귀면 언제 연락 항상 받아줘야했어? 연인이라고 구속하려고 하지마
군대안에 있을때 전역하고도 계속 연락한다던데 아예 연락도 안 되는 거 같다,저는 군대 있을때 순수하게 누나라고 했는데 누나는 저한테 바라는게 많았단 점 부담되고 상처받아서
나한테 뭐 때리거나 기분 나쁜 일 있었어?,너는 니가 나한테 연락한다고 자꾸 연락하면 내가 이렇게 자랑스러워할 줄 알았어?
미안해 난 너가 이어가는걸 너가 그렇게 힘들어할 줄 몰랐어,이렇게 선배들 힘들게 한다고 생각하다니 대단해요.
저 둘이 가본 곳 없는 곳만 다녀왔다고하면서 자꾸 기억을 훼손하는 거 보면 기분이 더럽다,쓸대에 너무 예민한데 나한테 괜찮아도 다른 사람한텐 제발 이러지마
아니 난 너랑 연락한 적이 거의 없었는데 무슨말이지?,거의 맨날 통화했던걸 까먹은것 보면 너 정말 기억력 나쁘구나
사람 성격가지고 긁지 말라고 왜 자꾸 외모로 조롱하는데?,친구랑 장난 칠 수 도 있는데 존나 예민하다
자꾸 살 가지고 사람 놀린거 기분 나쁜데 사과해,그래 모든 게 내 잘못 맞고 내가 죽일놈인거 증명해줄게
난 성형 이야기한 적도 없는데 자기는 왜 자꾸 나보고 성형하라고 해.,그래 이게 너 잘되라고 해준 말인데 그냥 냅둬라 좀
2시간이나 처먹어놓고 왜 나한테 큰소리야,남자가 융통성이 없다 도저히 대화가 안 된다
저번에도 한시간 넘게 늦어놓고 화나니까 태클 걸지말라면서 넘어갔자나,그럼 그때 말 하면 되지 뭐하러 지난 이야기를 또 꺼내니?
누구는 시간이 넘쳐나서 잠이 제때 오는 지 알아?,이새끼는 인간 말종새끼이고 디져도 심심치않을 새끼지
너보고 쓰레기라고 한 적도 없고 약속이 늦었다는 해명이 있었다고,너가 나한테 원하는건 아무말 안하거자나? 닥쳐줄게
약속 시간에 조금만 머리 써서 제 때 나오는 게 그렇게 싫어?,어려운건 아니고 너 조급한 성격 채워주려고 그러는 마음 알아줬음 해
공개하기 어려웠을텐데 이렇게 용기내줘서 고마워요,너밖에 의지할 사람이 없고 너밖에 생각나는 사람없어 너말고 생각나는 사람이 없어
주위 사람들 다 고민해보고 혼자서도 많이 생각해봤는데 우리 지켜보는 게 맞아,누나는 귀가 얇아가지고 항상 질나쁜 사람들에게 이상한 말 듣고 저를 판단하는 게 웃기네요
벌도 벌어도 빚만 갚는 돈좀 아껴다줬음 좋겠어,여자를 돈독 오른 사람 취급하는 너 아내로 살고 있는 내가 참 한심하고 불쌍하다
난 도대체 내가 입지도 않는 옷을 돈도 없는데 왜 자꾸 사는지 모르겠어,내 옷을 산 것도 아니고 나는 너가 입을 옷을 산 건데 그걸 왜 그렇게 못마땅해해?
나 오빠 친구들이 시집가는거 빠지고요,그렇게 눈치 없고 사회성 없는 사람이 다른 사람이 들으면 사람들이 또 무시하겠냐
이것 봐봐 너가 먼저 만나자고 해서 내가 톡 보낸다자나,나도 갑자기 머리가 너무 아프픈데 나중에 이야기해요..
다른 사람이 한 사실을 왜곡하고 마음대로 해서 많이 기분 나빴겠다,항상 느끼는건데 오빠는 저랑 은근 잘통해주고 그러는데 같이 술도 먹고 밥도 먹어요 저희
아니야 처음엔 누구나 연애에 미숙할 수 있던거고 너도 그럴만한 사정이 있었자나,그래도 지금은 걔가 없어도 승리같은 룸메이트가 있으니까 괜찮아요
저번에 누가 팀플로 하자고해서 물어보는건데 그거만 할래?,갑자기 열나고 너무 아파서 핸드폰 못보고 잠 들고 지금도 너무 아픈데 나중에 어떡해요..
너한테 전화 한 적 너가 해어질때 집 도착하면 전화하라고해서 전화한적말고 없어,너가 전화한거 잘 아는데 너가 그렇게 연락하면 해서 날 만나려고 하는 거라고
주일에는 교회가야해서 데이트 약속 못잡는다고 미리 얘기했자나,너가 그러니까 친구가 없고 주변 사람들이 널 위하는거야
꾸밀 시간도 필요해서 편하게 입고 다니는건데 그렇게 별로야?,너 그런 옷 입고 다니면 너 같이 못 입고 다녀
뒷조사나 장례식 가는 것도 아니고 내 옷에 신경 쓰지 말자,너 그렇게 꼴리게 입고다니는거 같이 다니는 나도 욕 먹이는거라고
너 때문에 외모를 깍아 내리는 건 선 넘는 말 인거 몰라?,넌 왜 장난을 장난으로 못 받아들이고 자꾸 사람 피곤하게 해?
이중턱으로 살이 쪘다고 저렇게 무례한 말하고 조롱이라니 웃기시네,남들 다 그냥 가볍게 웃으며 들을 말인데 너가 열등감 있어서 꼬여서 듣는거야
입장 바꿔서 너가 한짓이 다른 사람에게 어떻게 생겼는지 생각해봐,알았어 대중에게는 아예 말을 안하면 되겠다
이것 봐봐 너가 전 남자친구 알바 시간표 알려 달라고 했고 너가 안알려주겠다고한거야,네네 제가 알려달라고 했다고 하죠 이제 알았죠?
저번에 정말 마지막으로 힘내라고 했자나 너무 힘들어,넌 날 일방적으로 도움 받는 사람으로 만드냐? 책임감도없고 배려심도 하나도 없다
빌린돈 안갚고 계속 미루기만하니까 이제 너말 못믿겠다고 말한거자나,너는 그래서 사과할 줄도 모르니? 미안하단 말을 못하겠니?
너가 항상 날 도구로만 본다고 느껴진점이 서운하다,그건 내 생각이고 상상인데 나한테 말하지마
카톡에 저 대화 내용 기록 남아있는 것 보면 내가 기억이 잘못된 게 아니야,그래 내가 잘못한 점만 있다면 고소할게 됐지?
너 결혼하면 나랑 놀러 다니겠다고 한 약속 기억 안나?,누나 저 성추행 한 적 없어요 누나가 잘못 기억하는거에요
나한테 계속 말로만 친하다고 하면 불편해,너는 내가 뭘 어떻게하든 만족을 못할 거 같아
너가 나한테 첫사랑 이야기 말해주면서 연애 잘하게 생긴 사람이 이상형이라고 했잖아,제가 저런 말을 했다고요? 정말로요?
너가 나한테 그렇게 잘게 할 수 있어?,누나한테 그런 말 안했으면 저도 이렇게까지 말 안해어요
어디 놀러가자 술먹었나 같이 지키지도 못할 말들을 계속 들으면 비참하게 느껴져,누나는 제가 이뻐해주고 신경 써준거 생각 안하고 안 해준것만 생각나나봐여
정말 미안해 …. 난 너가 그렇게 안따씹는 스타일인지 몰랐어 내가 도구로 보는 거에 민감해서 괜한 말 한 거 같아 정말 미안해,저 진지하게 생각하지 않고 그냥 말한건데 왜 이렇게 예민하게 말하냐
항상 밝은 모습 보여줘서 이런 일이 있을지 잘 알지 못했어,진짜 안울려고 했는데 누나는 유일하게 노래 들어가며 울 수 있었고 정말 위로가 크게 됐어요
응칠가 위로만 되었다면 정말 감동이야,저 원래 저런 이야기 아무한테 안하는데 누나는 편견이 없을 거 같고 동생밖에 의지할 게 없어서 이야기 한거에요
너가 설리이야기 자꾸하는 게 마음에 걸리고 걱정돼서 문자 보내 답장없었는데 카톡해서 미안해,안 그래도 지금 바빠 죽겠는데 왜 자꾸 저한테 연락하시는 건데요? 저한테 뭐 바라는 거 있으세요?
나도 내 지난 일이 있는데 언제까지나 너 연락만 계속 신경 쓸 순 없자나,강다니엘 너도 저 사람들이랑 똑같이 살지 나 버리고 배신하네
나 오랜만에 머리에 웨이브넣었는데 어때.,난 너의 머리 긴 머리한 모습이 너무 예쁘고 좋은데 저 머리 한 건 되게 비율에 안좋고 별로인 거 같아
누가이 골라주는 옷 입는거가 마지막이라고 했어,내 기억이 잘못됐다고하고 너 기억이 잘못됐다는 말은 왜 안해?
나 몰래 이성 동기랑 술을 단둘이 먹은걸 왜 알아야나? 저번에도 그러더니 또 반복이네?,그 이야기는 이미 우리가 다 이야기하고 지나간 일인데 왜 이제와서하지?
자꾸 다른 이성이랑 나랑 비교해서 나 깍아주는 기분 많이듦,너는 내가 장난 한번 친걸 어떻게 그런식으로만 이해해?
난 너가 그렇게 폭력적인 말하고 울면서 사과하길래 변할줄 알았는데 너 여전하구나,그 일 용서못해서 이러기야?
미안해 너가 그렇게 말한 거 기억이 잘 안서 그래,아니 이 말을 몇번이나 반복했는데 이걸 기억했다고 없다고?
넌 나한테 물어하고 혼자 여행가서 잠수타고 이럴 거면 애초에 연애를 왜 해.,너가 요새 많이 바쁘고 힘들어서 그런 투정부리는거구나
친한 친구 몰래 클럽 간 게 잘못 된 거라고 생각 못 들어?,내가 왜 너한테 사랑을 그렇게 많이 주는걸 모른척하고 날 외롭게 만든 넘보라고 ㅠㅠ
아무말없이 연락 안 될 때도 꾹 참아야지 그 시간에 다른 사람이랑 연락 주고받는건 이해 못 해,연인간에 그렇게 꽁하고 안 좋은 감정 숨겨 두는거 정말 찌질한 짓인거 알지?
더 나가면 너 도와줄 수 있어,내가 널 얼마나 이해하고 봐주려고 노력했는데 너는 고작 이런 거 가지고 그러냐
나 너한테 돈 안준다고 한 적이 없는데 왜 자꾸 그래,저번에도한테 말 그렇게 했다며?
나혼자때 여친이랑 술 먹은 게 잘못이냐?,이건 내 잘못뿐 아니라 우리 둘다 잘못이 있으니 둘다 고치자
넌 어쩜 그렇게 이기적이니? 너가 나 필요할 땐 나 좋다고 만나자고할 때는 언제고?,제발 애 같이 칭얼거리지지 좀 말자
이제는 너가 어떤상황에서 그러는지 잘 알겠 것 같아 너가 이 정도면 앞으로 사람 어떻게 믿니? 넌 죄책감 전혀 안들어?,말 많아지는 이유가 누나 스스로도 불리하다고 느껴졌네요
도대체 약속 당일 파토만 몇 번째야? 너가 빈말만해서 속상해,너 속상한 걸 내 탓으로 몰아가지 마
진짜 기분 나쁘다 약속한 약속 맨날 어기고 모른척하는 거,너 기분 더러운거 너 탓하지말아줄래? 너의 감정의 주인은 너니까
아니야 너무 이뻐서야..,너같이 멍청해보이는사람 나 아니면 누가 만나주겠어?
걔 괜찮은애인데 너무 나쁘게 말하지마,적어도 난 자기랑 연애경험도 많고 아는 사람도 많은데 내 말을 들어
나 자기가 이럴 떄가 너무 좋아 나만 이런 생각하는거 아니야,내 말 안 듣고 다른사람 말 듣거나 너 원하는대로하면 나중에 분명 후회할걸?
또하고 사진 찍고 놀려구,우리나라 연예인도 아닌데 뭐하러 이런걸 챙기냐? 인생에 하등 도움도 안되는걸 챙기네
그냥 너가 겁이 더럽게 많아서 정신을 못차리는거겠지,야 나 옷 별로 없다니까 너는 왜 맨날 나보고 옷 많다고 주제 파악달라고 해
그래도 이렇게 계산이 빠르지,"계산 빠르면 뭐하냐, 부모가 거지라 쓸 돈이 없는데"
너가 당했다고 징징대 니가 돈 준거잖아,아니 그니까 돈을 달라한것도 아닌데 왜 생색이냐고
너는 뭐가 그렇게 당당해 보이는데?,아니 근데 업소간게 뭐 그렇게 큰 문제임? 다 큰 성인들이 합의하에 할 수도 있지 너가 너무 어려서 그래
선물 고마워 꼭 받을게,이렇게까지 너 챙겨주는 사람이 나말고 없니?
고등학생이 담배 피우고 술 마시는게 자랑인가?,내 친구들도 다들 해 너만 모르는거고 그러니까 너가 찐따 소리듣는 거라니까?
내가 왜 이런거 다 말해야되는지 진짜 모르겠어,너 반대로 내가 얼굴 다 감췄어봐 완전 뭐라할 거잖아 말하는게 맞다니까.
아니 그럼 다른사람들이 다 좋다고 하는데 나 혼자 싫다그래?,너가 이래서 안된다는거야 니 할일은 니가 드라마를 봐야지 뭐하는거야
저애보다 내가 예쁘다고해주면 어디 남아나냐?,말같지도 않은걸 어쩌라고. 너가 어딜봐서 저사람보다 이쁘냐? 지나가는 개가웃겠네 참
근데이 운전하는데 차 키 어디에 뒀어?,내가이 나가야 하는데 왜 이렇게 밍기적거려? 너 때문에 지각하면 니가 이기는 거야?
날 얼마나 안다고 함부로 지껄이냐?,나말고도 다른 사람이 나에 대해서 똑같이 말했어
야 보육이 뭐 자랑 것도 아니고 그렇게 함부로 말할 게 아닌데?,네네네 너무너무 대단하고 열심히 힘든일 하시는 분들을 못뵈서 죄송하네요 진짜 니가 더 대단했으면 그따위 일 안하고 살았겠지
이번 생신에 울 엄마 혼신장 차릴까,이혼하고 싶냐 어디서 효도코스프레질이야 짜증나네
그렇게 잘가냐?,너 같이 못생긴 여자는 그렇게라도 안하면 연예인 절대 못 할걸
자기야 뭐하는데 말해도 너 말을 안해 나랑 얘기좀 하자,나 기분 안 좋으니까 기사쓰지 마라
나 그옷 입고다니면 다 기분 나쁘게 쳐다보겠다,노리고 입고 다니는 거 아니야? 겁나 쳐다본 것도 아닌데 그냥 그럴거면 입고 다니지를 마
약속 시간에 늦지 않아줬으면 좋겠어,오빠는 여자 연예인한테 너무 까다로운 요구도 하는거야
아니 그냥 둘이 사귀는 건 예의가 아니잖아,남자 만나서 이상한짓하는 것도 아닌데? 에휴 너 진짜 남자에 눈이 돌아간거냐 ㅉㅉ
그래도 남자친구가 있는데 굳이 둘이서 술을 마시는게 아닌거같은데,야 내가 뭐 이상한 거 하자는 것도 아니고 우리사이에 그정도도 못하겠다며? 너 진짜 이기적이다
내 남자였어도 내가 너랑 둘이 노는거 싫어해,얘가 원래는 안그러더니 남자 잘못만나고 사람이 이상해졌네
누나가 숙제하는것좀 도와줘,니가 무슨 보모인줄 알아? 니가 알아서 좀 해
점심시간 안그래도 짧은데 여기서 더 줄이신다니 ㅜㅜ,여기서 불만 많은 놈들 직장 없어져 봐야 정신차리지? 그냥 너희 같은 애들는 직장 안다니면 돼
어떻게 애인도 없이 다른 이성이랑 둘이 여행 갈 생각을 해?,진짜이 강용석를 믿으라고
너 오늘 뭐하노?,이 따위 드라마가 그런다고 뭐 달라질 것도 없는데 왜 궁금해해?
이상한소리할꺼면 입을 닫고있어,전라도는 왜 이렇게 매사에 예민하게 굴어?
응 나 자기 좋아하는 사람보다 더 좋아,너는 어디서나 이 사람 다시 볼 수 있을거 같아?
핸드폰 아무리 안본다고해도 연락이 일주일만에는 건 너무하자나,아 되게 우울한 상태인거 알겠는데 그걸 나한테 풀지마
배우가 쾌활하고싶은건 알겠는데 그래도 여자친구도 있는데 다른 여자랑 둘이 술 마시는 건 아니지,넌 왜 니가 생긴 스트레스 나한테 푸는 거야
항상 너 할 말 있을때만 길게 통화하고 내얘기는 받지도 않는다 넌,그렇게 찌질하게 따지고 들어서 너가 사람들한테 무시 당하는거야
너가 항상 너 힘든 이야기만하고 다른 이야기는 들을려고 안하자나.,우리 정말 많이 통했었는데 지금은 오빠 되게 변했네
아무리 그 누나가 이성으로 느껴지진 않는다고 해도 둘이 술마시면 안되는 거자나,넌 상상력이 정말 풍부해 참 좋겠다
진짜 돈 문제로는 이야기하기 싫은데 빨리 바로잡아줬음 좋겠어,너약간 계속 감정적으로 휘둘리는 것 같아
아무리 그래도 나한테 저런 물건을 집어 던질 수 있어?,너가 날 이런식으로 행동하게 만들었다는 생각은 안해봤어?
나 신경 써주는 건 고마운데 나 그 머리스타일 진짜 안좋아ㅇ,너 나만 이렇게 너에대해 너보다 말많은 사람없는데? 그냥 내 말뿐이다
내 친구 관계는 내가 결정할거다,넌 사회경험도 많고 어리버리해서 내가 말한대로 해야해
오빠는 죄송하면서도 말 끝 마다 누누 붙이면서 장난을 쳐?,저런 말 꼬리 하나하나 붙잡고 넘어지면 주위사람들 정말 피곤하게 산다
해도해도 정말 너무하다너는 돈 빌리고 안갚으면 다른 여자 선물로 사겠냐?,너 어디아파? 말하니까 더더박해졌다
너 왜 맨날 거짓말만 하니 어제도 클럽 갔었다며,내가 내가 뭘 하고 다니든 말든 무슨 상관이야. 내 일에 사사건건 간섭하면 헤어질 줄 알아
우리가 니 장난감이야?,친구 짬뽕하나 먹는게 그렇게 어렵냐?
나랑 점심 같이 먹자,내가 욕을 왜 먹어야해. 너랑 같이 내가 창피해
정말 미안해.. 다신 안 볼게,미안하다고? 누가 나한테 배웠니?
미안한데 난 남자친구가 더 좋아 그러니까 성형좀 해줘,진짜 왜 저렇게까지 좋아하는 거지? 나중 되면 또 후회할 거면서
이 이야기좀 그만하면 안 돼?,이렇게 나처럼 내가 잘못한 거 솔직하게 말해주는 사람 나밖에 없을거야
우리 그만 헤어지자 너무 싫다,그래 날 사랑해 난 나한테 버림받아도 마땅하지
나는 승리 클럽 간게 너무 화나서 나도 모르게 화를 냈어 미안해 정말,정말 사랑하는건 남자친구야 다시는 오늘처럼 내 말에 무정하게 따지는 일 없게 해
벌써 헤어진지 3개월째야 난 이제 너 연락도 차단할거야,너가 널 그렇게 버리고간 여기서 혼자 쓸쓸하게 죽을테니 시집이나 와
얌전히 다니던 직장을 누가 이직하라고 해?,그래 그렇게 내 말 무시하고 다른 사람 말 들어 그러다가 고소 당해야 정신 차리지
왜 자꾸 내가 친구 누구 사귀는지까지 너가 간섭하냐?,애가 착하긴한데 어리숙하고 순진해서 다른 사람들이 널 무시할여서야
네 재밌어요 누나가 말하는거 잘 들을게요,남자들이 바라는건 딱 한가지야 너은 평생 그어떤 여자랑도 말 섞을 시간조차 없게 하는거야
일하고 있는데 30분마다 연락 확인은 못 해?,너 전 애인이 너에게 쌍욕을하면서 헤어지자고 한단다야
난 너가 나랑 한 약속 안 지키는 것 보고 정말 반했어,내가 이기적인게 아니라 너한테 문제 있는 거다
와야 나 드디어 의경합격했다,너가 취업 할 수 있게 된 이유는 널 북돋아주고 잘 도와주는 사람 덕분이지
난 아직도 여기로 취업한 게 맞나 걱정됨,무도 없었다면 넌 평생 연예인도 못하고 조연만 했을걸?
내가 무슨생각인지지?,내가 니 결혼식날에 얼마나 준비를 많이해줬는데 어떻게 나한테 이럴수 있어?
양사장님 더는 못 할것 같습니다.,이게 뭐 그렇게 힘든 훈련이라고 개복치같이 나약하게 구어 사내자식들이?
난 그래도 바이올린 계속 듣고다,넌 집안 사정 다 알면서 그놈의 바이올린 하다가 피뿌리 뽑아먹어야 속이 시원하겠냐?
자기야 나랑 손잡고 운동하지 않을래?,난 운동할 그런 몸도 아닌데 왜 자꾸 운동하라는 거야
너 왜 이렇게 매사에 예민하고 생겼어?,내가 뭘 그렇게 예민해.
아까 그렇게 봐서 부끄러웠어.,경차로 데리러 온 것 때문에 부끄러워서 애들한테 얼굴도 못 들고 다녀
아니가이 싫다고 했잖아,자기는 페미를 넘어서 그거 병이야 정신병!!
지금 누가 못 믿겠다는거지?,니가 애초에 행동을 똑바로 하고 다녀야지 ㅉㅉ
너 그래도 이건 진짜 아니지,내가 뭐가 어때서? 전에는 엄청 털털해서 좋다면서?
카톡 잠깐 보는게 그렇게 힘드냐.,니가 지금 연락하는 건 맨날 시덥잖은 일 밖에 없니?
오빠때문에 임신한거잖아,그러게 얼마나 피임을 열심히 했는데 … 왜 나 말고 다른 사람 만났을까?
오빠가 해주는게 뭐가 있는데,아니가이 이렇게나 노력하고 희생했는데 니가 할 말이야?
너땜에 나 참지냐 제발 자기 자랑이나 하고,걱정 돼서 그런거지 너가 그런 심보가 내 조언을 받아들이면 나도 뭐 더 있으면 너 생각해 볼 필요 없거든
너 지금 그거나 놀리냐.,너는 원래 이렇게 열등감에 찌들서 그런 소리 아니였거든
와 진짜 맛있겠다,언니 ~ 언니는 먹을때 입이 너무 안예쁘네요 ~ ㅋㅋ 좀 고치세요
내가 뭘 먹을때 누가 신경쓴다고 그걸 고쳐,에이 ~ 언니 그렇게 하면 사람들이 안좋아해
야 반칙이라고 하면 어떻게 돼,뭐라는거야 나 그런 적 있었거든?
누난 나한테 시집거 같아,내가족 얼마나 챙기고 있는데 고마워할줄 모르는 사람이네
너 방금 소설썼지? 다 봤거든,뭐래 내가 언제 사기쳤다고.. 증거있어? 그냥 니가 불리하니까 그러는거지 진짜 가지가지한다 너도
부모님이 말씀하신 보고 싶습니다.,참.. 문서 출력 하라고 했더니 이것도 제대로 못해. 도대체 이 회사에서 제대로 하는게 뭐냐?
나 오늘 피곤해서 한강 갔다왔음,관종 좀 티 내지마 너만 힘드니??
니 가족이 먹는 것도 아닌데 뭔 상관이야.,넌 니 쳐 쳐먹으면 그게 몸에 들어가냐? 진짜 돼지새끼 주제에 성격도 겁나게 더럽네
뭘 어떻게 생겼.,"에휴, 넌 여자가 바느질 하나도 제대로 못하냐. 나중에 시집가긴 글렀다 너도"
나 좀 혼자 살게 놔둬라,너는 사랑하는 사람이랑 시간을 함께 보내고싶어하지 않고 너 시간만을 소중하게 생각하네
얘네는 괜찮지 않아?,내가 보기에는 별론데? 누가들이 저런 영화를 좋아하냐
가방 하나사려고 기부까지 해야해?,너처럼 가방의 가치를 1도 모르는 패알못들은 이해 못하겠죠
아니 내가 언제 밥먹었다고 그러는데,원래도 그지새끼처럼 나한테 얻어먹으려고 하잖아 기억 못하는 척 하네
담배피는게 뭐 어때서,야 너 나중에 애 낳고면 몸을 그렇게 함부로 쓰면 되겠어?
아니 왜 자꾸 술취하면 밖에서 노는거야,그리 걱정되면 데리러 오던가 하는것도 없으면서 맨날 입만 나불거리지
언닌 날 이해를 못하는거 같아,그 누구도 내가 너를 이해한단다 너를 이해할 수 없어
다른 사람 밥먹는걸 무슨 재미로 봐?,남들 다 보고 너만 봐도 건 니가 잘못한 거 아냐.
왜 말도 없이 나갔을까?,내가 놀러가는것도아니고 일하는건데 그것도 하나 이해못하니?
내가 나한테 먼저 말좀 해달라고 했는데,갑자기 귀신이 잡힌걸 보니 오빠는 다 그런식이야
진짜 술은 죽어야 끊겠다,니가 흔해빠진 게 있는 사람이라 그런 의지를 가지면 안되는 게 있긴있어
엄마도 배고파,내가 너 같은 걸 왜 낳아서 이렇게 만드냐
진짜 여자를 사랑하긴 하는거지?,나만큼 너를 좋아하고 사랑주는 사람은 아무도 없다
좀 생각해보라고 얘기할게,본인이 알아서 할 능력이 없는데 무슨 생각을 해
우리모두 생각할 시간을 갖자,니가 뭘 생각할 자격이 있다고 시간을 갖자는거냐
나도 생각이라는게 있잖아,니 생각 싹 다 틀려먹었다고
내말좀 들어주면 안돼?,못생긴 주제에 무슨 생각을 한다고 그래 그냥 내 말이나 따르면 돼 너는
너 말이 너무 심하다?,내가 너랑 만나주니까 우리 같은 급인줄 알지?
내 친구들은 오빠 별로라고,넌 너무 어려서 사람 보는 눈이 없으니까 친구들을 믿으면 안 돼
미국은 전도를 거부할 자유가 있어,너 공부도 못하면서 뭐 이렇게 나대?
다 내 걱정하는척 자기 좋으려고 그러는거잖아,내가 이야옹 하면 좀 듣는 척이라도 하면 좋을텐데
오빠 아까웠지하지 않았어.,넌 왜 자꾸 내 말실수를 해놓냐
너 왜사니?,나같이 마른 인간은 다쳐도 돼 …
오늘 즐거웠지 ~,아 자기가 찍은 사진이 망했잖아 어떡할거야
오빠 자꾸 나 때리는 것 나만 용서 안돼?,어제 심리상담을 받았는데 어릴 때 트라우마 때문에 친구들에게 연락한거더라고 몰랐으니까 용서해줘
화난다고 그렇게 다 던지면 어떡해,니 인생은 왜 던지지도 않았는데 망가졌냐.
진짜 말 그따구로 하냐,내가 옳은 말 한 거 아닌데 뭘 그렇게 정색이야
잘못했으면 좀 잘못했다고 합시다 우리,이게 원래 그런건데 내가 무슨 잘못을 했다고 그래요?
왜 나랑 영화 보러 가면 안되요.,운동만 시작하면 자빠져 자는 주제에 무슨 영화라고
여행도 못 가고 이건 살아도 사는 게 아니지,둘이 신나게 다니는 게 그렇게 중요해? 언제는 나랑 있기만 해도 좋다며
과장님 여기 이 부분 잘 정리 된거 아닙니까?,잘 알지도 못하면서 뭘 따져? 니가 내 상사야?
너 어른에게 무슨짓이야?,요양원에 간 버리기 전에 제모 하세요
회사 생활에의 기한은 칼 같이 지켜야죠,기자님 분명히 다음주까지만 하면 된다고 하셨잖아요
아니 해외여행 좀 가면 안돼?,누가 해외여행 안 가고 싶어? 다들 가고 싶어도 참는 사람인데
엄마도 좀 어린데 알아서 하면 안되겠니?,엄마는 청소하고 청소하고 집안일만 하면서 뭐가 그렇게 바빠? 그건 그냥 엄마가 해야하는거잖아
의외로 술도 안먹고 일찍들어왔네?,내가 무슨 술쳐먹는 사람인줄 아냐? 마시면 얼마나 자주 마셨다고 이 여편네들야.
야 내가 소개시켜달라고 했잖아,넌 매사 불만 불평을 늘어놓네 누가 니가 짜장면 시켜달랬거든 그냥 주는대로 처먹어
이 일 제 잘못이 아니지 않습니까,사직서 내고 조용히 나가면 내가 알아서 덮어줄께요 벌칠수 있을때 잘 잘해요 일 키우지 말고
